id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3
28,0,"Ping Pong Ball",Throw,16,0.255806,0.549822,0.143617,0.452273,0,0,0,0,0,0,0,0,0,0,0,0
29,0,"Ping Pong Ball",Throw,14,0.150701,0.55196,0.139058,0.402273,0,0,0,0,0,0,0,0,0,0,0,0
30,0,"Ping Pong Ball",Throw,15,0.105025,0.551914,0.139058,0.345455,0,0,0,0,0,0,0,0,0,0,0,0
31,0,"Ping Pong Ball",Throw,13,0.367773,0.504075,0.139058,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
32,0,"Ping Pong Ball",Throw,10,0.367773,0.504075,0.150456,0.236364,0,0,0,0,0,0,0,0,0,0,0,0
33,0,"Ping Pong Ball",Throw,12,0.367773,0.504075,0.152736,0.179545,0,0,0,0,0,0,0,0,0,0,0,0
34,1,"Ping Pong Ball",,-1,0.367773,0.504075,0.148176,0.131818,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"Ping Pong Ball",,-1,0.370056,0.501782,0.116261,0.0704546,0,0,0,0,0,0,0,0,0,0,0,0
36,1,"Ping Pong Ball",,-1,0.466378,0.554935,0.196049,0.0931818,0,0,0,0,0,0,0,0,0,0,0,0
37,0,"Ping Pong Ball",Throw,7,0.466378,0.554935,0.193769,0.136364,0,0,0,0,0,0,0,0,0,0,0,0
38,0,"Ping Pong Ball",Throw,8,0.466378,0.554935,0.200608,0.131818,0,0,0,0,0,0,0,0,0,0,0,0
39,1,"Ping Pong Ball",,-1,0.404337,0.48118,0.198328,0.188636,0,0,0,0,0,0,0,0,0,0,0,0
40,1,"Ping Pong Ball",,-1,0.50762,0.548153,0.198328,0.243182,0,0,0,0,0,0,0,0,0,0,0,0
41,0,"Ping Pong Ball",Throw,20,0.509913,0.54816,0.198328,0.297727,0,0,0,0,0,0,0,0,0,0,0,0
42,0,"Ping Pong Ball",Throw,23,0.509886,0.538957,0.205167,0.354545,0,0,0,0,0,0,0,0,0,0,0,0
43,0,"Ping Pong Ball",Throw,18,0.509886,0.538957,0.207447,0.402273,0,0,0,0,0,0,0,0,0,0,0,0
44,1,"Ping Pong Ball",,-1,0.702829,0.558002,0.200608,0.504545,0,0,0,0,0,0,0,0,0,0,0,0
45,0,"Ping Pong Ball",Throw,20,0.695923,0.555675,0.193769,0.556818,0,0,0,0,0,0,0,0,0,0,0,0
46,0,"Ping Pong Ball",Throw,15,0.505497,0.603393,0.200608,0.613636,0,0,0,0,0,0,0,0,0,0,0,0
47,0,"Ping Pong Ball",Throw,14,0.50549,0.60109,0.191489,0.665909,0,0,0,0,0,0,0,0,0,0,0,0
48,0,"Ping Pong Ball",Throw,17,0.203174,0.506044,0.196049,0.715909,0,0,0,0,0,0,0,0,0,0,0,0
49,0,"Ping Pong Ball: Reduced velocity","Moving above object",-1,0.450627,0.653903,0.093465,0.720455,2.13245,-2.03595,2.31485,-1.86491,-1.55212,-1.37831,0.244507,-0.180014,0.280351,-2.58147,1.77165,-0.034487
50,0,"Ping Pong Ball: Reduced velocity",Throw,15,0.450312,0.545686,0.0911854,0.613636,1.44522,-2.02507,1.95945,-3.05429,-1.49734,-1.57937,0.0784704,-0.301534,0.590415,1.18768,-1.24457,1.15357
51,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.0911854,0.511364,0,0,0,0,0,0,0,0,0,0,0,0
52,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.0980243,0.509091,0,0,0,0,0,0,0,0,0,0,0,0
53,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.093465,0.404545,0,0,0,0,0,0,0,0,0,0,0,0
54,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.093465,0.297727,0,0,0,0,0,0,0,0,0,0,0,0
55,0,"Ping Pong Ball: Reduced velocity",Throw,3,0.450312,0.545686,0.0911854,0.195455,0,0,0,0,0,0,0,0,0,0,0,0
56,0,"Ping Pong Ball: Reduced velocity","Grabbing object",-1,0.450325,0.550287,0.093465,0.0840909,0,0,0,0,0,0,0,0,0,0,0,0
58,1,"Ping Pong Ball: Reduced throwTime",,-1,0.450319,0.547986,0.093465,0.0840909,2.13238,-2.03591,2.31481,-1.86487,0.0129931,-1.37837,0.312526,-0.135885,0.363896,-1.32217,0.893556,-0.654601
59,1,"Ping Pong Ball: Reduced throwTime",,-1,0.452616,0.550293,0.0911854,0.0840909,2.13239,-2.03596,2.31485,-1.86491,-1.55214,-1.37836,0.244494,-0.180027,0.280355,-2.58148,1.77168,-0.0344905
60,1,"Ping Pong Ball: Reduced throwTime",,-1,0.450319,0.547986,0.0911854,0.190909,0,0,0,0,0,0,0,0,0,0,0,0
61,0,"Ping Pong Ball: Reduced throwTime",Throw,5,0.450325,0.550287,0.093465,0.297727,0,0,0,0,0,0,0,0,0,0,0,0
62,0,"Ping Pong Ball: Reduced throwTime",Throw,6,0.450325,0.550287,0.0911854,0.406818,0,0,0,0,0,0,0,0,0,0,0,0
63,0,"Ping Pong Ball: Reduced throwTime",Throw,8,0.450325,0.550287,0.093465,0.506818,0,0,0,0,0,0,0,0,0,0,0,0
64,0,"Ping Pong Ball: Reduced throwTime",Throw,6,0.450319,0.547986,0.0889058,0.561364,0,0,0,0,0,0,0,0,0,0,0,0
65,1,"Ping Pong Ball: Reduced throwTime",,-1,0.45261,0.547993,0.093465,0.665909,0,0,0,0,0,0,0,0,0,0,0,0
66,0,"Ping Pong Ball: Reduced throwTime",Throw,7,0.45261,0.547993,0.093465,0.720455,0,0,0,0,0,0,0,0,0,0,0,0
67,1,"Ping Pong Ball: Reduced throwTime",,-1,0.45261,0.547993,0.191489,0.720455,0,0,0,0,0,0,0,0,0,0,0,0
68,0,"Ping Pong Ball: Reduced throwTime",Throw,17,0.448027,0.54798,0.191489,0.720455,0,0,0,0,0,0,0,0,0,0,0,0
69,0,"Ping Pong Ball: Reduced throwTime",Throw,18,0.448027,0.54798,0.193769,0.613636,0,0,0,0,0,0,0,0,0,0,0,0
70,0,"Ping Pong Ball: Reduced throwTime",Throw,14,0.448027,0.54798,0.191489,0.506818,0,0,0,0,0,0,0,0,0,0,0,0
71,0,"Ping Pong Ball: Reduced throwTime",Throw,20,0.448027,0.54798,0.193769,0.4,0,0,0,0,0,0,0,0,0,0,0,0
72,0,"Ping Pong Ball: Reduced throwTime",Throw,12,0.448027,0.54798,0.196049,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
73,0,"Ping Pong Ball: Reduced throwTime",Throw,12,0.452623,0.552594,0.205167,0.0818182,1.57388,-1.65657,1.44778,-2.91317,-0.565851,-1.57542,0.180794,-0.393143,0.688459,1.91315,-0.566891,1.89977
74,1,"Consistency test: Ping Pong Ball",,-1,0.452616,0.550293,0.104863,0.138636,2.1324,-2.03595,2.31482,-1.86485,-1.55215,-1.37832,0.244496,-0.180027,0.280357,-2.58145,1.77171,-0.0344134
75,1,"Consistency test: Ping Pong Ball",,-1,0.452616,0.550293,0.102584,0.140909,2.13239,-2.03599,2.31489,-1.86485,-1.55216,-1.37826,0.244481,-0.180011,0.280336,-2.58139,1.7718,-0.034371
76,1,"Consistency test: Ping Pong Ball",,-1,0.450325,0.550287,0.0980243,0.136364,0,0,0,0,0,0,0,0,0,0,0,0
77,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.102584,0.138636,0,0,0,0,0,0,0,0,0,0,0,0
78,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.102584,0.138636,0,0,0,0,0,0,0,0,0,0,0,0
79,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.104863,0.138636,0,0,0,0,0,0,0,0,0,0,0,0
80,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0957447,0.668182,0,0,0,0,0,0,0,0,0,0,0,0
81,1,"Consistency test: Ping Pong Ball",,-1,0.454914,0.552601,0.0957447,0.665909,0,0,0,0,0,0,0,0,0,0,0,0
82,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0957447,0.665909,2.13324,-2.03615,2.31509,-1.86484,-0.552035,-1.37759,0.302536,-0.142643,0.319474,-1.78903,1.21748,-0.495546
83,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0729483,0.684091,2.13239,-2.03591,2.31491,-1.86488,-1.55209,-1.37831,0.244495,-0.180022,0.280311,-2.58136,1.77169,-0.0343283
84,0,"Consistency test: Ping Pong Ball","Moving above object",-1,0.0978789,0.162105,0.549392,0.45,0,0,0,0,0,0,0,0,0,0,0,0
85,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.157295,0.0863636,2.13245,-2.03592,2.31489,-1.86494,-1.55209,-1.37841,0.244508,-0.180011,0.280325,-2.58152,1.77151,-0.0344498
86,1,Golfball,,-1,0.404258,0.449013,0.100304,0.0863636,2.13237,-2.03592,2.31485,-1.86486,-1.55216,-1.37835,0.244489,-0.180037,0.28034,-2.58144,1.77172,-0.0343544
87,0,Golfball,Throw,2,0.401747,0.352597,0.0980243,0.193182,0,0,0,0,0,0,0,0,0,0,0,0
88,0,Golfball,Throw,2,0.404035,0.352602,0.093465,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
89,1,Golfball,,-1,0.408612,0.352612,0.093465,0.402273,0,0,0,0,0,0,0,0,0,0,0,0
90,1,Golfball,,-1,0.408836,0.449024,0.0911854,0.502273,0,0,0,0,0,0,0,0,0,0,0,0
91,1,Golfball,,-1,0.306121,0.554525,0.0980243,0.611364,1.51548,-1.76881,1.60862,-2.95978,-1.56754,-1.57791,0.0883438,-0.393773,0.662101,1.18801,-1.24427,1.15389
92,0,Golfball,Throw,7,0.404539,0.559365,0.198328,0.713636,2.13237,-2.0359,2.31486,-1.86488,-1.55216,-1.37836,0.244492,-0.18004,0.28033,-2.58144,1.7717,-0.0343373
93,0,Golfball,Throw,7,0.406829,0.559371,0.200608,0.613636,0,0,0,0,0,0,0,0,0,0,0,0
94,0,Golfball,Throw,9,0.413706,0.56169,0.193769,0.509091,0,0,0,0,0,0,0,0,0,0,0,0
95,1,Golfball,,-1,0.505341,0.552749,0.202888,0.404545,0,0,0,0,0,0,0,0,0,0,0,0
96,0,Golfball,Throw,7,0.509934,0.555064,0.196049,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
97,0,Golfball,Throw,5,0.599576,0.601399,0.200608,0.195455,0,0,0,0,0,0,0,0,0,0,0,0
98,0,Golfball,Throw,3,0.601873,0.601407,0.200608,0.0931818,0,0,0,0,0,0,0,0,0,0,0,0
99,0,Golfball,Throw,1,0.601873,0.601407,0.093465,0.0931818,2.13241,-2.03592,2.31491,-1.86492,-1.55216,-1.3783,0.244495,-0.18002,0.280317,-2.58144,1.77172,-0.0343535
100,0,"Golfball: reduced throwTime",Throw,2,0.406934,0.598498,0.0957447,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0
101,0,"Golfball: reduced throwTime",Throw,4,0.627145,0.603798,0.0889058,0.184091,1.52423,-1.71072,1.53093,-2.94035,-0.652225,-1.57769,0.157618,-0.386793,0.674491,1.82805,-0.678046,1.8111
102,1,"Golfball: reduced throwTime",,-1,0.502906,0.504435,0.0866261,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
103,1,"Golfball: reduced throwTime",,-1,0.306017,0.506234,0.0866261,0.397727,0,0,0,0,0,0,0,0,0,0,0,0
104,0,Golfball,Throw,2,0.157492,0.501384,0.0911854,0.504545,0,0,0,0,0,0,0,0,0,0,0,0
105,1,Golfball,,-1,0.159775,0.501387,0.0911854,0.504545,0,0,0,0,0,0,0,0,0,0,0,0
106,0,"Golfball: reduced throwTime",Throw,3,0.346961,0.405254,0.0911854,0.611364,2.13239,-2.03597,2.31491,-1.8648,-1.55209,-1.37837,0.244485,-0.180006,0.280319,-2.5814,1.77161,-0.0342952
107,0,"Golfball: reduced throwTime",Throw,5,0.351534,0.405264,0.0911854,0.709091,0,0,0,0,0,0,0,0,0,0,0,0
108,0,"Golfball: reduced throwTime",Throw,7,0.356108,0.405274,0.191489,0.718182,0,0,0,0,0,0,0,0,0,0,0,0
109,0,"Golfball: reduced throwTime",Throw,7,0.294589,0.508508,0.196049,0.720455,0,0,0,0,0,0,0,0,0,0,0,0
110,0,"Golfball: reduced throwTime",Throw,2,0.299162,0.508518,0.198328,0.611364,0,0,0,0,0,0,0,0,0,0,0,0
111,0,"Golfball: reduced throwTime",Throw,5,0.303735,0.508527,0.191489,0.506818,0,0,0,0,0,0,0,0,0,0,0,0
112,1,"Golfball: reduced throwTime",,-1,0.306032,0.51313,0.193769,0.4,0,0,0,0,0,0,0,0,0,0,0,0
113,0,"Golfball: reduced throwTime",Throw,6,0.31061,0.515439,0.196049,0.297727,2.13245,-2.03596,2.31493,-1.86496,-1.55214,-1.37825,0.244498,-0.180003,0.28032,-2.58142,1.77173,-0.0344368
114,0,"Golfball: reduced throwTime",Throw,3,0.312897,0.515444,0.193769,0.190909,0,0,0,0,0,0,0,0,0,0,0,0
115,0,"Golfball: reduced throwTime",Throw,1,0.315184,0.515449,0.193769,0.0818182,0,0,0,0,0,0,0,0,0,0,0,0
116,0,"Consistency test: Golfball",Throw,4,0.319753,0.51316,0.0957447,0.0818182,2.13245,-2.03586,2.31488,-1.8649,-1.55208,-1.37828,0.244514,-0.180019,0.28031,-2.58136,1.77165,-0.0343189
117,0,"Consistency test: Golfball",Throw,4,0.454914,0.552601,0.0911854,0.0818182,0,0,0,0,0,0,0,0,0,0,0,0
118,0,"Consistency test: Golfball",Throw,4,0.454914,0.552601,0.0911854,0.0840909,0,0,0,0,0,0,0,0,0,0,0,0
119,0,"Consistency test: Golfball",Throw,2.5,0.459497,0.552614,0.093465,0.202273,1.51124,-1.72803,1.55695,-2.94852,-0.635038,-1.57813,0.153884,-0.381108,0.670031,1.83081,-0.674958,1.81386
120,0,"Consistency test: Golfball",Throw,2,0.457206,0.552607,0.0889058,0.186364,0,0,0,0,0,0,0,0,0,0,0,0
121,0,"Consistency test: Golfball",Throw,4,0.457199,0.550306,0.0911854,0.190909,2.13228,-2.01763,2.3553,-1.92356,-1.55196,-1.37837,0.244483,-0.180035,0.261793,-2.58135,1.77168,-0.0343369
122,0,"Consistency test: Golfball",Throw,1,0.457199,0.550306,0.0911854,0.393182,0,0,0,0,0,0,0,0,0,0,0,0
123,0,"Consistency test: Golfball",Throw,1,0.461782,0.550319,0.0911854,0.406818,0,0,0,0,0,0,0,0,0,0,0,0
124,0,"Consistency test: Golfball","Grabbing object",-1,0.454908,0.5503,0.0911854,0.618182,0,0,0,0,0,0,0,0,0,0,0,0
