id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
28,0,"Ping Pong Ball",Throw,16,0.255806,0.549822,0.143617,0.452273,0,0,0,0,0,0,0,0,0,0,0,0,13029.3,-1,12201.1,0.238337,4844.75,17178.5,34.758
29,0,"Ping Pong Ball",Throw,14,0.150701,0.55196,0.139058,0.402273,0,0,0,0,0,0,0,0,0,0,0,0,14194.9,-1,18190.1,0.40173,4995.66,25223.2,32.9107
30,0,"Ping Pong Ball",Throw,15,0.105025,0.551914,0.139058,0.345455,0,0,0,0,0,0,0,0,0,0,0,0,13490.5,-1,4676.24,0.457886,5138.23,8774.34,10.3714
31,0,"Ping Pong Ball",Throw,13,0.367773,0.504075,0.139058,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,49575.1,-1,6051.67,0.236977,5302.98,11654.2,10.4268
32,0,"Ping Pong Ball",Throw,10,0.367773,0.504075,0.150456,0.236364,0,0,0,0,0,0,0,0,0,0,0,0,18992.3,-1,7452.38,0.443988,5282.97,12207.8,33.1339
33,0,"Ping Pong Ball",Throw,12,0.367773,0.504075,0.152736,0.179545,0,0,0,0,0,0,0,0,0,0,0,0,13850.3,-1,8059.57,0.346869,5257.44,12230,9.89758
34,1,"Ping Pong Ball",,-1,0.367773,0.504075,0.148176,0.131818,0,0,0,0,0,0,0,0,0,0,0,0,13912.4,-1,128080,0.26959,5269.9,129935,34.3648
35,1,"Ping Pong Ball",,-1,0.370056,0.501782,0.116261,0.0704546,0,0,0,0,0,0,0,0,0,0,0,0,16205.5,-1,9237.57,0.347065,5277.79,11181.3,9.16695
36,1,"Ping Pong Ball",,-1,0.466378,0.554935,0.196049,0.0931818,0,0,0,0,0,0,0,0,0,0,0,0,18042.4,-1,9125.51,0.256831,5716.01,11103.5,9.57165
37,0,"Ping Pong Ball",Throw,7,0.466378,0.554935,0.193769,0.136364,0,0,0,0,0,0,0,0,0,0,0,0,18866.6,-1,6424.44,0.240312,5831.08,21550.7,31.9964
38,0,"Ping Pong Ball",Throw,8,0.466378,0.554935,0.200608,0.131818,0,0,0,0,0,0,0,0,0,0,0,0,18440.2,-1,7811.41,0.260628,5721.65,12329,8.95756
39,1,"Ping Pong Ball",,-1,0.404337,0.48118,0.198328,0.188636,0,0,0,0,0,0,0,0,0,0,0,0,20363.9,-1,18360.9,0.243953,5398.11,20227,11.9195
40,1,"Ping Pong Ball",,-1,0.50762,0.548153,0.198328,0.243182,0,0,0,0,0,0,0,0,0,0,0,0,15689.3,-1,6792.84,0.251507,5896.51,8667.51,10.4728
41,0,"Ping Pong Ball",Throw,20,0.509913,0.54816,0.198328,0.297727,0,0,0,0,0,0,0,0,0,0,0,0,14096.7,-1,5733.44,0.359673,5898.09,10079.2,9.36565
42,0,"Ping Pong Ball",Throw,23,0.509886,0.538957,0.205167,0.354545,0,0,0,0,0,0,0,0,0,0,0,0,18356.3,-1,4968.28,0.239882,5878.06,9544.3,10.5704
43,0,"Ping Pong Ball",Throw,18,0.509886,0.538957,0.207447,0.402273,0,0,0,0,0,0,0,0,0,0,0,0,15413,-1,44632,0.400784,6043.27,50935.7,24.8833
44,1,"Ping Pong Ball",,-1,0.702829,0.558002,0.200608,0.504545,0,0,0,0,0,0,0,0,0,0,0,0,18706.3,-1,8305.7,0.339541,6570.95,10172.5,33.0239
45,0,"Ping Pong Ball",Throw,20,0.695923,0.555675,0.193769,0.556818,0,0,0,0,0,0,0,0,0,0,0,0,25378.5,-1,24112.6,0.301511,6576.82,29367.4,33.7903
46,0,"Ping Pong Ball",Throw,15,0.505497,0.603393,0.200608,0.613636,0,0,0,0,0,0,0,0,0,0,0,0,19250.9,-1,7161.07,0.23632,6011.44,10501.6,10.9453
47,0,"Ping Pong Ball",Throw,14,0.50549,0.60109,0.191489,0.665909,0,0,0,0,0,0,0,0,0,0,0,0,21562.7,-1,15525.9,0.260582,6049.22,21351.7,10.2123
48,0,"Ping Pong Ball",Throw,17,0.203174,0.506044,0.196049,0.715909,0,0,0,0,0,0,0,0,0,0,0,0,13440,-1,9602.78,0.240674,5110.13,13166.1,32.8752
49,0,"Ping Pong Ball: Reduced velocity","Moving above object",-1,0.450627,0.653903,0.093465,0.720455,2.13245,-2.03595,2.31485,-1.86491,-1.55212,-1.37831,0.244507,-0.180014,0.280351,-2.58147,1.77165,-0.034487,-1,-1,5131.33,-1,1962.06,-1,35.7922
50,0,"Ping Pong Ball: Reduced velocity",Throw,15,0.450312,0.545686,0.0911854,0.613636,1.44522,-2.02507,1.95945,-3.05429,-1.49734,-1.57937,0.0784704,-0.301534,0.590415,1.18768,-1.24457,1.15357,21547.3,-1,9195.39,0.429202,5638.67,13546.2,12.1396
51,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.0911854,0.511364,0,0,0,0,0,0,0,0,0,0,0,0,15737.3,-1,15368.3,0.351151,5638.24,19769.6,9.2071
52,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.0980243,0.509091,0,0,0,0,0,0,0,0,0,0,0,0,22936.6,-1,15918.8,0.256843,5633.2,19953.9,33.9874
53,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.093465,0.404545,0,0,0,0,0,0,0,0,0,0,0,0,12809.5,-1,12987.3,0.417403,5624.9,21376,12.7305
54,0,"Ping Pong Ball: Reduced velocity",Throw,12,0.450312,0.545686,0.093465,0.297727,0,0,0,0,0,0,0,0,0,0,0,0,15929.7,-1,11131.8,0.342945,5626.84,14316,11.0284
55,0,"Ping Pong Ball: Reduced velocity",Throw,3,0.450312,0.545686,0.0911854,0.195455,0,0,0,0,0,0,0,0,0,0,0,0,15104.5,-1,35613.5,0.236286,5635.94,40398.1,9.04964
56,0,"Ping Pong Ball: Reduced velocity","Grabbing object",-1,0.450325,0.550287,0.093465,0.0840909,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,17095.6,-1,35821,-1,9.32833
58,1,"Ping Pong Ball: Reduced throwTime",,-1,0.450319,0.547986,0.093465,0.0840909,2.13238,-2.03591,2.31481,-1.86487,0.0129931,-1.37837,0.312526,-0.135885,0.363896,-1.32217,0.893556,-0.654601,18088.4,-1,10127.4,0.565572,6307.81,12007.4,10.1176
59,1,"Ping Pong Ball: Reduced throwTime",,-1,0.452616,0.550293,0.0911854,0.0840909,2.13239,-2.03596,2.31485,-1.86491,-1.55214,-1.37836,0.244494,-0.180027,0.280355,-2.58148,1.77168,-0.0344905,15900.2,-1,23943.3,0.530467,7310.54,25806.9,33.8513
60,1,"Ping Pong Ball: Reduced throwTime",,-1,0.450319,0.547986,0.0911854,0.190909,0,0,0,0,0,0,0,0,0,0,0,0,20149.4,-1,6361.52,0.231248,7294.87,8224.84,10.7168
61,0,"Ping Pong Ball: Reduced throwTime",Throw,5,0.450325,0.550287,0.093465,0.297727,0,0,0,0,0,0,0,0,0,0,0,0,30226.1,-1,8080.48,0.23629,7279.05,12110.3,11.3328
62,0,"Ping Pong Ball: Reduced throwTime",Throw,6,0.450325,0.550287,0.0911854,0.406818,0,0,0,0,0,0,0,0,0,0,0,0,22227.5,-1,17100.5,0.232698,7309.76,22042.9,11.7604
